

[2017-05-31 21:45:18] Startup - updater built Aug 22 2016 17:36:46


[2017-05-31 21:45:19] Startup - updater built Apr 25 2017 15:47:29
[2017-05-31 21:45:19] Verifying installation...
[2017-05-31 21:45:19] Verification complete
[2017-05-31 21:45:24] Background update loop checking for update. . .
[2017-05-31 21:45:24] Checking for available updates...
[2017-05-31 21:45:29] Download skipped: /client/steam_client_osx version 1493162727, installed version 1493162727
[2017-05-31 21:45:29] Nothing to do
[2017-05-31 23:45:10] Background update loop checking for update. . .
[2017-05-31 23:45:11] Download skipped by HTTP 304 Not Modified
[2017-05-31 23:45:11] Nothing to do
[2017-06-01 01:13:49] Background update loop checking for update. . .
[2017-06-01 01:13:50] Download skipped by HTTP 304 Not Modified
[2017-06-01 01:13:50] Nothing to do
[2017-06-01 09:44:59] Background update loop checking for update. . .
[2017-06-01 09:45:00] Download skipped by HTTP 304 Not Modified
[2017-06-01 09:45:00] Nothing to do
[2017-06-01 10:48:33] Background update loop checking for update. . .
[2017-06-01 10:48:34] Download skipped by HTTP 304 Not Modified
[2017-06-01 10:48:34] Nothing to do
[2017-06-01 11:53:22] Shutdown


[2017-06-05 01:56:37] Startup - updater built Aug 22 2016 17:36:46


[2017-06-05 01:56:38] Startup - updater built Apr 25 2017 15:47:29
[2017-06-05 01:56:38] Verifying installation...
[2017-06-05 01:56:38] Verification complete
[2017-06-05 01:56:44] Background update loop checking for update. . .
[2017-06-05 01:56:44] Checking for available updates...
[2017-06-05 01:56:56] Package file tenfoot_images_all.zip.vz.233076db27e85dfb64772945ca4bc578874f7206_29421425 missing or incorrect size
[2017-06-05 01:56:56] Package file tenfoot_all.zip.vz.56d2a57ba4f08870e229bdd0316688d167c60436_2282675 missing or incorrect size
[2017-06-05 01:56:56] Package file strings_en_all.zip.vz.5909f282eacc059f31447178bf5e01af86e4d07d_85389 missing or incorrect size
[2017-06-05 01:56:56] Package file strings_all.zip.vz.909456d20821fffbc7a086e3e3ebbd248b6e3ebd_2117625 missing or incorrect size
[2017-06-05 01:56:56] Package file public_all.zip.vz.8da3936a65e0f88899e2145d15363a06fa9479cb_752566 missing or incorrect size
[2017-06-05 01:56:56] Package file bins_osx.zip.vz.94a47552c925924448659310e1df57716065f671_20490316 missing or incorrect size
[2017-06-05 01:56:56] Package file bins_client_osx.zip.vz.6798182a06465843c01b2bf5047eb2a2d982d5a8_10117490 missing or incorrect size
[2017-06-05 01:56:56] Package file sdl2_osx.zip.vz.fcd2672916bcfa5d879c0363a5d8b0d6dd61eeed_554770 missing or incorrect size
[2017-06-05 01:56:56] Package file webhelpers_osx_macos109.zip.vz.887269cc5c5697ca222ba199871964ca79049dd5_1844994 missing or incorrect size
[2017-06-05 01:56:56] Package file webkit_osx_macos109.zip.vz.c6d4ab1bcac2296665f0366d2edc6d373e91f464_40888742 missing or incorrect size
[2017-06-05 01:56:56] Package file steam_osx.zip.vz.981e1f6af0e6b442837110d129fa49ae724473cc_1157899 missing or incorrect size
[2017-06-05 03:23:38] Shutdown


[2017-06-05 10:29:29] Startup - updater built Aug 22 2016 17:36:46


[2017-06-05 10:29:38] Startup - updater built Apr 25 2017 15:47:29
[2017-06-05 10:29:39] Verifying installation...
[2017-06-05 10:29:40] Verification complete
[2017-06-05 10:29:45] Background update loop checking for update. . .
[2017-06-05 10:29:45] Checking for available updates...
[2017-06-05 11:18:18] Shutdown
[2017-06-05 11:18:18] Error: Download failed: http error 0


[2017-06-07 11:49:41] Startup - updater built Aug 22 2016 17:36:46


[2017-06-07 11:49:41] Startup - updater built Apr 25 2017 15:47:29
[2017-06-07 11:49:41] Verifying installation...
[2017-06-07 11:49:42] Verification complete
[2017-06-07 11:49:47] Background update loop checking for update. . .
[2017-06-07 11:49:47] Checking for available updates...
[2017-06-07 11:49:57] Package file tenfoot_images_all.zip.vz.233076db27e85dfb64772945ca4bc578874f7206_29421425 missing or incorrect size
[2017-06-07 11:49:57] Package file tenfoot_all.zip.vz.56d2a57ba4f08870e229bdd0316688d167c60436_2282675 missing or incorrect size
[2017-06-07 11:49:57] Package file strings_en_all.zip.vz.5909f282eacc059f31447178bf5e01af86e4d07d_85389 missing or incorrect size
[2017-06-07 11:49:57] Package file strings_all.zip.vz.909456d20821fffbc7a086e3e3ebbd248b6e3ebd_2117625 missing or incorrect size
[2017-06-07 11:49:57] Package file public_all.zip.vz.8da3936a65e0f88899e2145d15363a06fa9479cb_752566 missing or incorrect size
[2017-06-07 11:49:57] Package file bins_osx.zip.vz.94a47552c925924448659310e1df57716065f671_20490316 missing or incorrect size
[2017-06-07 11:49:57] Package file bins_client_osx.zip.vz.6798182a06465843c01b2bf5047eb2a2d982d5a8_10117490 missing or incorrect size
[2017-06-07 11:49:57] Package file sdl2_osx.zip.vz.fcd2672916bcfa5d879c0363a5d8b0d6dd61eeed_554770 missing or incorrect size
[2017-06-07 11:49:57] Package file webhelpers_osx_macos109.zip.vz.887269cc5c5697ca222ba199871964ca79049dd5_1844994 missing or incorrect size
[2017-06-07 11:49:57] Package file webkit_osx_macos109.zip.vz.c6d4ab1bcac2296665f0366d2edc6d373e91f464_40888742 missing or incorrect size
[2017-06-07 11:49:57] Package file steam_osx.zip.vz.981e1f6af0e6b442837110d129fa49ae724473cc_1157899 missing or incorrect size
[2017-06-07 11:49:57] Downloading update (0 of 107,142 KB)...
[2017-06-07 11:49:57] Downloading update (162 of 107,142 KB)...
[2017-06-07 11:49:58] Downloading update (575 of 107,142 KB)...
[2017-06-07 11:49:58] Downloading update (932 of 107,142 KB)...
[2017-06-07 11:49:58] Downloading update (1,612 of 107,142 KB)...
[2017-06-07 11:49:58] Downloading update (2,875 of 107,142 KB)...
[2017-06-07 11:49:59] Downloading update (4,079 of 107,142 KB)...
[2017-06-07 11:49:59] Downloading update (5,714 of 107,142 KB)...
[2017-06-07 11:49:59] Downloading update (6,881 of 107,142 KB)...
[2017-06-07 11:49:59] Downloading update (7,600 of 107,142 KB)...
[2017-06-07 11:50:00] Downloading update (7,601 of 107,142 KB)...
[2017-06-07 11:50:00] Downloading update (7,609 of 107,142 KB)...
[2017-06-07 11:50:01] Downloading update (7,813 of 107,142 KB)...
[2017-06-07 11:50:01] Downloading update (8,273 of 107,142 KB)...
[2017-06-07 11:50:01] Downloading update (8,565 of 107,142 KB)...
[2017-06-07 11:50:01] Downloading update (9,188 of 107,142 KB)...
[2017-06-07 11:50:02] Downloading update (9,584 of 107,142 KB)...
[2017-06-07 11:50:02] Downloading update (10,188 of 107,142 KB)...
[2017-06-07 11:50:02] Downloading update (11,135 of 107,142 KB)...
[2017-06-07 11:50:02] Downloading update (11,877 of 107,142 KB)...
[2017-06-07 11:50:03] Downloading update (12,680 of 107,142 KB)...
[2017-06-07 11:50:03] Downloading update (13,712 of 107,142 KB)...
[2017-06-07 11:50:03] Downloading update (13,792 of 107,142 KB)...
[2017-06-07 11:50:03] Downloading update (14,725 of 107,142 KB)...
[2017-06-07 11:50:04] Downloading update (15,608 of 107,142 KB)...
[2017-06-07 11:50:04] Downloading update (16,659 of 107,142 KB)...
[2017-06-07 11:50:04] Downloading update (17,226 of 107,142 KB)...
[2017-06-07 11:50:04] Downloading update (18,408 of 107,142 KB)...
[2017-06-07 11:50:05] Downloading update (19,014 of 107,142 KB)...
[2017-06-07 11:50:05] Downloading update (19,439 of 107,142 KB)...
[2017-06-07 11:50:05] Downloading update (20,050 of 107,142 KB)...
[2017-06-07 11:50:05] Downloading update (20,218 of 107,142 KB)...
[2017-06-07 11:50:06] Downloading update (20,890 of 107,142 KB)...
[2017-06-07 11:50:06] Downloading update (21,930 of 107,142 KB)...
[2017-06-07 11:50:06] Downloading update (22,932 of 107,142 KB)...
[2017-06-07 11:50:06] Downloading update (24,398 of 107,142 KB)...
[2017-06-07 11:50:07] Downloading update (25,972 of 107,142 KB)...
[2017-06-07 11:50:07] Downloading update (27,666 of 107,142 KB)...
[2017-06-07 11:50:07] Downloading update (29,787 of 107,142 KB)...
[2017-06-07 11:50:07] Downloading update (30,645 of 107,142 KB)...
[2017-06-07 11:50:08] Downloading update (32,572 of 107,142 KB)...
[2017-06-07 11:50:08] Downloading update (34,483 of 107,142 KB)...
[2017-06-07 11:50:08] Downloading update (36,235 of 107,142 KB)...
[2017-06-07 11:50:08] Downloading update (38,071 of 107,142 KB)...
[2017-06-07 11:50:09] Downloading update (40,425 of 107,142 KB)...
[2017-06-07 11:50:09] Downloading update (41,770 of 107,142 KB)...
[2017-06-07 11:50:09] Downloading update (43,460 of 107,142 KB)...
[2017-06-07 11:50:10] Downloading update (45,418 of 107,142 KB)...
[2017-06-07 11:50:10] Downloading update (47,249 of 107,142 KB)...
[2017-06-07 11:50:10] Downloading update (48,771 of 107,142 KB)...
[2017-06-07 11:50:10] Downloading update (50,516 of 107,142 KB)...
[2017-06-07 11:50:11] Downloading update (52,146 of 107,142 KB)...
[2017-06-07 11:50:11] Downloading update (54,109 of 107,142 KB)...
[2017-06-07 11:50:11] Downloading update (55,987 of 107,142 KB)...
[2017-06-07 11:50:11] Downloading update (57,972 of 107,142 KB)...
[2017-06-07 11:50:12] Downloading update (58,823 of 107,142 KB)...
[2017-06-07 11:50:12] Downloading update (59,830 of 107,142 KB)...
[2017-06-07 11:50:12] Downloading update (61,420 of 107,142 KB)...
[2017-06-07 11:50:12] Downloading update (62,752 of 107,142 KB)...
[2017-06-07 11:50:13] Downloading update (65,352 of 107,142 KB)...
[2017-06-07 11:50:13] Downloading update (67,360 of 107,142 KB)...
[2017-06-07 11:50:13] Downloading update (68,460 of 107,142 KB)...
[2017-06-07 11:50:14] Downloading update (70,092 of 107,142 KB)...
[2017-06-07 11:50:14] Downloading update (71,045 of 107,142 KB)...
[2017-06-07 11:50:14] Downloading update (72,347 of 107,142 KB)...
[2017-06-07 11:50:14] Downloading update (73,208 of 107,142 KB)...
[2017-06-07 11:50:15] Downloading update (73,849 of 107,142 KB)...
[2017-06-07 11:50:15] Downloading update (75,097 of 107,142 KB)...
[2017-06-07 11:50:15] Downloading update (76,836 of 107,142 KB)...
[2017-06-07 11:50:15] Downloading update (78,373 of 107,142 KB)...
[2017-06-07 11:50:16] Downloading update (79,277 of 107,142 KB)...
[2017-06-07 11:50:16] Downloading update (80,899 of 107,142 KB)...
[2017-06-07 11:50:16] Downloading update (81,643 of 107,142 KB)...
[2017-06-07 11:50:17] Downloading update (82,465 of 107,142 KB)...
[2017-06-07 11:50:17] Downloading update (83,193 of 107,142 KB)...
[2017-06-07 11:50:17] Downloading update (84,124 of 107,142 KB)...
[2017-06-07 11:50:17] Downloading update (85,173 of 107,142 KB)...
[2017-06-07 11:50:18] Downloading update (86,275 of 107,142 KB)...
[2017-06-07 11:50:18] Downloading update (87,085 of 107,142 KB)...
[2017-06-07 11:50:18] Downloading update (88,281 of 107,142 KB)...
[2017-06-07 11:50:18] Downloading update (89,225 of 107,142 KB)...
[2017-06-07 11:50:19] Downloading update (90,209 of 107,142 KB)...
[2017-06-07 11:50:19] Downloading update (90,790 of 107,142 KB)...
