2018/01/28 21:27:19:493, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/28 21:59:30:900, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/28 21:59:30:997, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/28 21:59:30:997, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/28 21:59:30:997, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/28 21:59:30:997, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/28 21:59:30:998, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/28 21:59:30:998, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/28 21:59:30:998, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/28 21:59:30:998, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/28 21:59:30:998, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/28 21:59:30:998, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/29 09:49:22:988, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/29 22:19:16:126, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/29 22:19:16:260, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/29 22:19:16:260, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/29 22:19:16:260, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/29 22:19:16:260, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/29 22:19:16:260, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/29 22:19:16:260, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/29 22:19:16:261, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/29 22:19:16:261, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/29 22:19:16:261, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/29 22:19:16:261, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/30 11:58:54:508, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/31 10:52:11:792, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/31 11:12:13:849, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/01/31 11:12:13:898, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/31 11:12:13:898, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/31 11:12:13:898, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/31 11:12:13:898, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/31 11:12:13:898, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/31 11:12:13:898, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/31 11:12:13:898, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/31 11:12:13:898, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/01/31 11:12:13:898, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/01/31 11:12:13:898, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/01 12:05:39:337, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/01 12:05:40:283, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/01 12:05:40:620, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/01 12:45:14:480, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/01 12:45:14:527, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/01 12:45:14:527, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/01 12:45:14:527, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/01 12:45:14:527, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/01 12:45:14:527, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/01 12:45:14:527, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/01 12:45:14:527, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/01 12:45:14:527, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/01 12:45:14:527, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/01 12:45:14:527, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/02 00:27:09:166, [WARN], poentialFreeMemoryPercentage: 2.557135% is below the condition, no need memory clean
2018/02/02 00:27:47:197, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/02 00:27:48:488, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/02 12:57:41:919, [ERRO], server not found, [ScheduleConnectionController.m(1274)]
2018/02/02 12:57:41:999, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/02 12:57:42:000, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/02 12:57:42:000, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/02 12:57:42:000, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/02 12:57:42:000, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/02 12:57:42:000, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/02 12:57:42:000, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/02 12:57:42:000, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
2018/02/02 12:57:42:000, [ERRO], Did fail with error unsupported URL, [ScheduleConnectionController.m(471)]
2018/02/02 12:57:42:000, [ERRO], download promotion resource fail, [SchedulePromotionController.m(347)]
